GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AiSD2025ZEx5,pl.edu.pw.ee.struct.queue,PriorityQueue,0,39,0,2,0,11,0,8,0,7
AiSD2025ZEx5,pl.edu.pw.ee.struct.queue,MinHeap,6,204,3,21,0,43,3,21,0,12
AiSD2025ZEx5,pl.edu.pw.ee.binary.misc,BinaryConverter,8,72,1,5,2,11,2,4,1,2
AiSD2025ZEx5,pl.edu.pw.ee.binary.io,BitWriter,2,120,1,11,1,29,1,12,0,7
AiSD2025ZEx5,pl.edu.pw.ee.binary.io,AbstractBitIO,0,64,0,4,0,17,0,6,0,4
AiSD2025ZEx5,pl.edu.pw.ee.binary.io,BitReader,9,100,2,8,5,22,4,7,2,4
AiSD2025ZEx5,pl.edu.pw.ee.struct.huffman,HuffmanNode,84,111,17,17,12,32,10,22,1,14
AiSD2025ZEx5,pl.edu.pw.ee.struct.huffman,HuffmanCodesMap,0,28,1,3,0,8,1,4,0,3
AiSD2025ZEx5,pl.edu.pw.ee.struct.huffman,HuffmanKeyLengthMap,9,129,1,13,1,38,1,7,0,1
AiSD2025ZEx5,pl.edu.pw.ee.struct.huffman,HuffmanPriorityQueue,0,27,0,2,0,7,0,2,0,1
AiSD2025ZEx5,pl.edu.pw.ee.struct.huffman,HuffmanTree,18,307,4,34,5,84,5,26,1,11
AiSD2025ZEx5,pl.edu.pw.ee.binary,CompressedHeader,0,58,0,0,0,14,0,6,0,6
AiSD2025ZEx5,pl.edu.pw.ee.binary,CompressedHeader.Builder,10,33,4,4,2,10,4,4,0,4
AiSD2025ZEx5,pl.edu.pw.ee.logging,ColorTag,0,84,0,0,0,15,0,3,0,3
AiSD2025ZEx5,pl.edu.pw.ee.logging,LoggingUtils,13,78,0,0,5,21,2,5,2,5
AiSD2025ZEx5,pl.edu.pw.ee.services,HuffmanDecompressor,6,190,3,15,1,51,3,8,0,2
AiSD2025ZEx5,pl.edu.pw.ee.services,HuffmanCompressor,23,325,3,17,8,90,3,10,0,3
AiSD2025ZEx5,pl.edu.pw.ee.struct.map,Node,0,48,0,0,0,19,0,11,0,11
AiSD2025ZEx5,pl.edu.pw.ee.struct.map,RbtMap,14,40,2,2,4,11,3,5,1,5
AiSD2025ZEx5,pl.edu.pw.ee.struct.map,Color,0,15,0,0,0,2,0,1,0,1
AiSD2025ZEx5,pl.edu.pw.ee.struct.map,RedBlackTree,139,296,23,39,33,85,18,37,5,19
AiSD2025ZEx5,pl.edu.pw.ee,OptionValidator,73,0,24,0,31,0,17,0,5,0
AiSD2025ZEx5,pl.edu.pw.ee,Main,125,0,11,0,45,0,9,0,2,0
